Assemblage_Name	4-2-2	6393116-0-3	794572-4848007-7707738	794572-1-7707738	0-1-1	0-1-7707738	2-0-3	2-0-7801918	9068267-1-1	0-2985804-1	794572-1-7354735	2-6515027-7801918
assemblage-309-123	0	0	0	192	88	0	0	0	0	0	95	125
assemblage-157-284	0	0	0	103	146	0	61	0	0	0	0	190
assemblage-20-15	0	0	0	0	56	0	94	182	0	0	0	168
assemblage-228-253	0	0	0	189	126	0	0	0	0	0	59	126
assemblage-84-58	0	0	0	99	158	0	64	0	0	0	0	179
assemblage-457-378	0	0	0	156	85	0	0	0	0	59	119	81
assemblage-113-415	52	0	0	0	147	0	0	75	61	0	0	165
assemblage-68-55	0	0	0	108	215	0	0	0	0	0	0	177
assemblage-274-494	0	0	0	0	137	0	0	58	92	0	0	213
assemblage-105-207	59	0	0	0	150	0	0	69	83	0	0	139
assemblage-543-302	0	0	0	91	62	0	158	0	0	0	0	189
assemblage-269-387	0	0	0	0	136	0	75	105	0	0	0	184
assemblage-139-118	0	0	0	101	186	0	0	0	0	0	0	213
assemblage-194-469	0	0	0	232	58	0	0	0	0	0	73	137
assemblage-475-74	0	0	0	196	143	0	0	0	0	0	64	97
assemblage-143-432	0	55	0	100	50	0	144	0	0	0	0	151
assemblage-187-182	0	0	0	0	162	0	65	85	0	0	0	188
assemblage-205-391	0	69	0	89	52	0	167	0	0	0	0	123
assemblage-503-176	0	0	0	0	176	57	47	103	0	0	0	117
assemblage-131-196	0	0	0	109	148	0	75	0	0	0	0	168
assemblage-468-243	0	0	0	0	130	0	108	96	0	0	0	166
assemblage-405-154	0	0	0	0	67	0	107	158	0	0	0	168
assemblage-380-457	0	0	0	0	90	0	81	158	0	0	0	171
assemblage-442-265	66	0	0	0	127	0	0	54	94	0	0	159
assemblage-258-264	0	0	51	216	110	0	0	0	0	0	0	123
assemblage-109-142	0	0	0	0	162	0	70	101	0	0	0	167
assemblage-59-169	0	0	0	0	186	54	0	102	0	0	0	158
