Assemblage_Name	4-2-1	1379634-7433155-830219	1379634-7433155-4867603	2609812-7433155-830219	1627570-4740063-8820117	1563630-7433155-830219	0-0-3	0-7369661-8796763	0-0-5374190	2989326-5984114-8820117	0-0-2251294	1379634-7433155-1	0-0-8796763	0-2-1	828719-7433155-830219	0-0-4690881	2989326-2-8820117	1298303-7433155-830219	1379634-7433155-6228581	1379634-7433155-7688862	820725-7433155-6228581	3798206-0-8193297	4715882-0-8796763	296210-4-3	5145313-7433155-7688862
assemblage-190-51	0	0	64	0	0	0	0	0	111	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	245
assemblage-360-492	0	0	0	0	0	111	0	0	0	0	0	0	110	0	0	0	0	0	0	103	0	0	0	0	176
assemblage-307-446	0	0	0	0	0	0	62	0	0	0	0	0	0	72	0	0	0	0	56	0	0	0	0	0	310
assemblage-205-410	0	0	0	0	0	0	71	0	0	0	0	0	0	60	0	0	0	0	0	0	0	57	0	0	312
assemblage-248-49	0	0	0	0	0	0	72	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	367
assemblage-69-261	55	87	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	81	0	0	0	0	216
assemblage-449-447	0	0	0	0	0	0	0	0	95	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	317
assemblage-549-538	0	0	0	0	0	0	62	0	0	0	0	66	0	0	0	0	0	0	0	0	0	53	0	0	319
assemblage-469-96	0	0	0	55	0	0	0	0	126	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	220
assemblage-522-206	48	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	308
assemblage-52-121	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420
assemblage-377-222	49	69	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	261
assemblage-301-389	58	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	96	0	0	0	0	218
assemblage-553-196	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	87	0	0	0	0	280
assemblage-120-467	0	79	0	0	0	0	0	0	0	0	0	0	73	0	0	0	59	0	0	42	0	0	0	0	247
assemblage-144-312	0	0	207	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	150	0	0	0	0	69
assemblage-115-185	0	0	0	49	0	0	0	0	89	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	265
assemblage-182-70	0	0	52	50	0	0	0	0	122	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	191
assemblage-475-40	0	0	0	0	0	0	60	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	338
assemblage-459-296	55	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	298
assemblage-517-309	0	0	0	0	0	0	55	0	0	0	0	44	0	0	0	0	0	0	0	0	0	64	0	0	337
assemblage-63-99	0	0	0	0	0	0	0	0	87	0	0	0	136	0	0	0	0	0	0	110	0	0	0	0	167
assemblage-550-130	62	60	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	48	0	0	0	0	274
assemblage-365-57	0	0	0	0	0	0	66	0	0	0	0	48	0	78	0	0	0	0	0	0	0	45	0	0	263
assemblage-116-278	47	94	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	59	0	0	0	0	242
assemblage-160-240	0	0	55	53	0	0	0	0	68	0	0	0	123	0	0	0	0	0	0	103	0	0	0	0	98
assemblage-472-542	0	0	71	66	0	0	0	0	74	0	0	0	135	0	0	0	0	0	0	55	0	0	0	0	99
assemblage-115-545	0	0	85	0	150	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	181
assemblage-227-354	82	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	272
assemblage-10-314	0	0	0	94	0	0	0	0	89	0	0	0	111	0	0	0	0	0	0	107	0	0	0	0	99
assemblage-71-387	69	121	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	267
assemblage-369-487	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	380
assemblage-262-337	76	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	69	0	0	0	213
assemblage-272-29	0	0	0	0	0	0	0	0	136	0	0	0	120	0	0	0	0	0	0	129	0	0	0	0	115
assemblage-44-439	0	0	0	0	0	61	0	0	0	0	0	0	146	0	0	0	0	0	0	118	0	0	0	0	175
assemblage-292-479	0	0	0	0	0	0	0	0	143	0	0	0	98	0	0	0	0	0	0	148	0	0	0	0	111
assemblage-12-224	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392
assemblage-29-328	0	0	0	0	0	0	0	0	109	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	287
assemblage-490-178	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	47	362
assemblage-486-35	44	77	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	64	0	0	0	0	265
assemblage-410-139	0	0	0	0	0	0	63	0	0	0	0	40	0	0	0	0	0	0	0	0	0	68	0	58	271
assemblage-504-463	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	84	0	0	0	0	308
assemblage-444-408	0	0	0	75	0	0	0	0	103	0	0	0	91	0	0	0	0	0	0	111	0	0	0	0	120
assemblage-518-290	64	73	0	0	0	0	0	0	0	0	0	0	65	0	0	0	53	0	0	60	0	0	0	0	185
assemblage-451-293	44	74	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	280
assemblage-470-116	53	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	45	0	0	94	0	0	0	0	180
assemblage-205-122	52	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	283
assemblage-296-426	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	107	0	0	0	0	0	0	55
assemblage-394-158	61	101	0	0	0	0	0	0	0	0	0	0	43	0	0	0	54	0	0	58	0	0	0	0	183
assemblage-523-461	63	79	0	0	0	0	0	0	0	0	0	0	60	0	43	0	0	0	0	0	0	0	0	0	255
assemblage-283-395	55	102	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	41	0	0	0	0	225
assemblage-229-167	56	89	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	39	0	0	0	0	264
assemblage-162-469	0	0	0	0	0	95	0	0	0	0	0	0	140	0	0	0	0	0	0	117	0	0	0	0	148
assemblage-188-29	56	111	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	60	0	0	0	224
assemblage-255-182	0	0	0	0	0	63	0	0	0	0	0	0	164	0	0	0	0	0	0	90	0	0	0	0	183
assemblage-352-544	0	0	0	0	0	0	0	0	91	0	0	0	142	0	0	0	0	0	0	90	0	0	0	0	177
assemblage-504-327	40	78	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	250
assemblage-437-501	0	0	0	0	0	0	0	0	65	0	0	0	172	0	0	0	0	0	0	121	0	0	0	0	142
assemblage-284-265	0	0	0	0	0	0	0	0	91	0	0	0	149	0	0	0	0	0	0	96	0	0	0	0	164
assemblage-366-151	103	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	49	0	0	0	200
assemblage-537-350	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	111	0	0	0	0	290
assemblage-25-283	0	0	0	0	0	71	0	0	0	0	0	0	164	0	0	0	0	70	0	85	0	0	50	0	60
assemblage-63-243	63	59	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	81	0	0	0	0	232
assemblage-463-235	68	70	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	59	0	0	0	0	241
assemblage-332-401	0	0	0	0	0	61	0	0	0	0	0	0	164	0	0	0	0	0	0	159	0	0	0	0	116
assemblage-293-328	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	195	0	0	0	0	63
assemblage-227-42	0	0	0	0	0	0	0	51	146	0	0	0	111	0	0	0	0	0	0	134	0	0	0	0	58
assemblage-47-302	0	0	0	0	0	89	0	0	0	0	0	0	154	0	0	0	0	0	0	94	0	0	0	0	163
assemblage-25-111	59	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	134	0	0	0	0	190
assemblage-287-142	102	86	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	71	0	0	0	0	180
assemblage-287-518	0	74	0	0	0	0	0	0	0	0	0	0	74	0	0	0	47	0	0	65	0	0	0	0	240
assemblage-281-419	0	0	0	105	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	102
assemblage-243-28	63	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	71	0	0	0	0	248
assemblage-564-109	0	0	80	0	160	0	0	0	0	0	60	0	89	0	0	0	0	0	0	0	0	0	0	0	111
assemblage-225-181	54	77	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	249
assemblage-471-133	0	0	0	0	0	0	61	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	366
assemblage-327-550	0	0	0	0	0	0	68	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	363
assemblage-201-438	0	0	0	0	0	0	50	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	344
assemblage-289-67	0	0	0	0	0	54	0	0	0	0	0	0	188	0	0	0	0	0	0	115	0	0	0	0	143
assemblage-444-127	0	0	0	0	66	0	0	0	94	0	0	0	95	0	0	0	0	0	0	55	0	0	0	0	190
assemblage-27-207	0	0	0	0	0	78	0	0	0	0	0	0	167	0	0	0	0	0	0	101	0	0	0	0	154
assemblage-78-518	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	136	0	0	0	0	127
assemblage-362-105	0	0	0	0	0	67	0	0	0	49	0	0	147	0	0	0	0	0	0	146	0	0	0	0	91
assemblage-396-96	73	56	0	0	0	0	0	0	0	0	0	0	64	0	57	0	60	0	0	0	0	0	0	0	190
assemblage-483-65	50	76	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	62	0	0	0	0	230
assemblage-171-106	0	0	0	0	0	0	0	0	104	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	285
assemblage-58-401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	258	0	0	0	0	42
assemblage-199-226	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	40	0	0	0	0	0	383
assemblage-361-353	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	132
assemblage-519-353	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	78	0	0	0	0	285
