Assemblage_Name	5306996-7970978-7431668	3766722-6024695-4	2-7970978-2376448	2-7970978-7431668	3-3-2	5230349-8515498-223966	2-4113420-4344966	2-8515498-7431668	4-2795266-2906987	5230349-8515498-7431668	2-6024695-7760568	2-6024695-4	1458055-6024695-4	2-6024695-4344966	4-2795266-2812890	2-6024695-9864527	2-3022838-8237419	2-9646254-4	4-2795266-3	2-6024695-1116206	4-3-3	2-5359338-8237419
assemblage-317-433	0	0	0	0	0	0	0	75	0	79	0	0	0	0	0	0	51	0	0	0	0	295
assemblage-49-203	0	0	0	0	124	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	163	104
assemblage-133-343	0	0	0	0	129	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	115	90
assemblage-243-296	0	0	0	161	0	133	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	144
assemblage-238-219	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	120	168
assemblage-371-64	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	59	0	0	190	111
assemblage-75-101	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	141	143
assemblage-246-477	0	0	0	0	0	89	0	127	0	202	0	60	0	0	0	0	0	0	0	0	0	22
assemblage-18-326	0	0	61	0	0	0	0	82	0	77	0	152	0	83	0	0	0	0	0	0	0	45
assemblage-205-502	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	87	241
assemblage-132-138	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	130	154
assemblage-232-472	0	0	0	85	0	0	0	151	0	65	0	135	0	0	0	0	0	0	0	0	0	64
assemblage-327-344	0	0	0	0	0	0	0	102	66	92	0	0	0	0	157	0	47	0	0	0	0	36
assemblage-469-305	0	0	0	89	0	0	0	96	0	113	0	130	0	0	0	0	0	0	0	0	0	72
assemblage-273-204	0	46	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	56	184
assemblage-78-18	0	0	0	69	0	0	0	167	0	67	0	141	0	0	0	0	0	0	0	0	0	56
assemblage-193-175	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	58	0	0	95	142
assemblage-210-107	0	0	0	76	0	0	0	158	0	73	0	135	0	0	0	0	0	0	0	0	0	58
assemblage-374-145	0	0	0	64	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	55	167
assemblage-83-405	0	0	0	0	0	0	0	111	0	0	0	204	0	0	0	0	0	0	0	0	63	122
assemblage-364-56	0	0	84	0	0	0	0	57	0	71	0	159	0	61	0	0	0	0	0	0	0	68
assemblage-438-503	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	45	0	0	159	82
assemblage-156-307	0	0	0	0	150	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	107	83
assemblage-485-14	0	0	0	0	0	0	0	0	0	0	45	190	0	0	0	0	0	0	0	0	89	176
assemblage-417-461	0	0	0	0	0	0	0	48	0	0	0	219	0	0	0	0	0	0	0	0	0	233
assemblage-406-433	0	60	0	0	0	0	0	99	0	0	0	166	0	0	0	0	0	0	0	0	72	103
assemblage-54-444	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	113	196
assemblage-284-481	0	0	0	69	0	0	0	187	0	58	0	127	0	0	0	0	0	0	0	0	0	59
assemblage-208-528	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	100
assemblage-0-534	0	0	0	88	0	0	0	99	0	114	0	144	0	0	0	0	0	0	0	0	0	55
assemblage-370-521	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	106	156
assemblage-411-201	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	53	240
assemblage-372-442	0	0	0	86	0	0	0	112	0	107	0	134	0	0	0	0	0	0	0	0	0	61
assemblage-236-187	0	49	0	0	0	0	0	116	0	0	0	174	0	0	0	0	0	0	0	0	69	92
assemblage-444-519	0	0	0	0	0	116	0	95	0	183	0	76	0	0	0	0	0	0	0	0	0	30
assemblage-242-269	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	59	0	0	0	0	85	120
assemblage-273-128	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	78	263
assemblage-229-469	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	66	0	0	175	101
assemblage-260-44	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	85	233
assemblage-299-130	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	59	0	0	149	88
assemblage-509-269	0	0	0	0	0	0	0	97	0	0	0	196	0	0	0	0	0	0	0	0	77	130
assemblage-184-182	0	0	0	94	0	0	0	0	0	149	0	0	58	0	0	0	88	0	0	0	0	111
assemblage-160-158	0	0	91	0	0	0	0	0	0	127	0	0	0	85	160	0	0	0	0	0	0	37
