Assemblage_Name	0-1-6051167	4-2-2	6393116-0-3	794572-4848007-7707738	0-1-5199485	0-4736579-1	794572-1-7707738	0-1-1	2-1677335-3	0-9702198-1	0-1-7707738	0-1-1965680	2-0-3	0-1-4095173	304652-0-3	2-0-7801918	8672280-6174311-1	9068267-1-1	0-907523-8755015	9068267-5091978-1	8020008-0-2914900	9449692-1-1	2-0-9489418	6795051-0-3	0-651786-7707738	0-1-7090251	1671553-8404395-7707738	2-7483638-3	6393116-0-2914900	0-1-702233	0-907523-2098522	865636-0-3	2-0-5705038	3577910-0-3	7509218-2-1	0-2985804-1	7198199-0-3	8672280-1-1	794572-1-7354735	2-6515027-7801918
assemblage-157-284	0	0	20	0	0	0	100	137	15	0	0	0	61	0	0	6	0	0	13	0	0	24	0	0	0	0	0	50	0	5	0	0	14	27	0	0	6	0	0	22
assemblage-10-342	0	0	0	29	8	9	205	75	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	104	23
assemblage-344-110	0	0	16	0	0	0	0	210	0	0	68	0	44	0	0	68	0	42	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-284-266	0	0	0	41	12	16	192	63	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	85	25
assemblage-398-392	0	0	0	31	0	32	168	115	0	0	0	12	0	12	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	77	24
assemblage-441-186	0	0	0	33	0	20	173	130	0	0	0	0	0	9	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	84	24
assemblage-353-354	0	0	19	0	0	0	0	178	0	0	81	0	41	0	0	75	0	48	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-527-93	0	0	0	22	0	0	123	198	0	0	0	16	12	0	12	0	0	0	29	0	0	0	0	0	0	0	0	10	0	17	9	0	8	7	0	0	0	4	0	21
assemblage-386-538	0	0	19	0	0	0	0	129	0	0	5	0	86	0	0	109	0	25	0	15	12	13	0	0	19	5	0	0	26	0	0	0	0	0	0	0	0	0	0	37
assemblage-332-30	0	0	28	0	0	0	100	148	5	0	0	0	69	0	0	17	0	0	22	0	0	18	0	0	0	0	5	35	0	0	0	0	5	16	0	0	11	0	0	21
assemblage-359-445	0	0	56	0	0	0	93	74	11	8	0	0	150	0	0	45	0	0	0	0	8	15	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-534-349	0	28	51	0	0	0	0	169	0	0	4	0	42	0	0	90	0	57	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-352-16	0	0	29	0	0	0	99	120	24	0	0	0	75	0	0	13	0	0	13	0	0	25	0	0	0	0	2	29	0	0	0	0	12	16	0	0	17	0	0	26
assemblage-77-82	0	0	44	0	0	0	79	68	8	7	0	0	168	0	0	62	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-85-266	25	63	22	0	0	0	0	135	0	0	0	0	30	0	0	65	0	92	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	54
assemblage-501-55	5	42	35	0	0	0	0	161	0	0	0	0	41	0	0	93	0	65	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-20-15	0	0	36	0	0	0	35	48	0	12	0	0	117	0	0	176	0	0	0	0	28	22	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	21
assemblage-556-105	4	41	72	0	0	0	0	187	0	0	0	0	35	0	0	58	0	69	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-407-550	0	0	54	0	0	0	92	64	11	8	0	0	137	0	0	55	0	0	0	0	6	23	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-560-204	0	6	35	0	0	0	0	158	0	0	67	0	45	0	0	94	0	41	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-222-535	0	0	0	10	0	0	173	154	0	0	0	12	17	0	7	0	0	0	21	0	0	0	0	0	0	0	0	0	0	9	9	0	11	7	0	0	0	14	11	29
assemblage-533-477	13	49	26	0	0	0	0	149	0	0	0	0	23	0	0	67	0	107	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	44
assemblage-160-361	0	0	0	50	14	15	189	67	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	91	18
assemblage-400-14	0	0	17	0	0	0	15	134	0	0	7	0	103	0	0	116	0	24	0	5	0	0	0	0	17	0	0	0	28	0	0	0	0	0	0	0	0	0	0	28
assemblage-399-483	0	0	48	0	0	0	31	74	0	6	0	0	104	0	0	160	0	0	0	0	13	16	0	0	10	0	0	0	10	0	0	4	0	0	0	0	0	0	0	19
assemblage-450-377	0	0	0	3	0	0	127	213	0	0	0	25	10	0	12	0	13	0	25	0	0	0	0	0	0	0	0	0	0	6	12	0	8	4	0	0	0	9	0	33
assemblage-560-537	0	0	32	0	0	0	32	77	0	17	0	0	74	0	0	168	0	0	0	0	23	35	3	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	25
assemblage-497-197	0	0	0	13	0	21	171	153	0	0	0	3	0	11	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	74	22
assemblage-274-476	0	0	26	0	0	0	0	165	0	0	0	0	60	0	0	106	0	40	0	5	23	5	0	0	11	0	0	0	23	0	0	0	0	0	0	0	0	0	0	26
assemblage-260-403	14	49	38	0	0	0	0	132	0	0	0	0	35	0	0	75	0	69	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	42
