Assemblage_Name	3766722-6024695-4	2-6024695-1017314	2-7970978-7431668	3-3-2	2-8515498-7431668	5230349-8515498-7431668	2-6024695-4	3209147-6024695-4	2-9646254-4	4-2795266-3	4-3-3	2-5359338-8237419
assemblage-145-344	0	0	80	0	173	81	91	0	0	12	0	18
assemblage-463-86	49	0	54	0	115	0	184	0	0	0	66	32
assemblage-435-9	0	0	96	0	91	130	98	0	0	16	0	35
assemblage-452-19	63	22	28	0	52	0	196	29	0	0	46	27
assemblage-437-301	9	0	71	0	168	54	133	0	0	5	8	30
assemblage-193-175	36	13	18	8	0	0	212	4	55	0	88	26
assemblage-294-11	0	0	0	35	0	0	226	0	40	0	97	7
assemblage-229-138	0	0	0	142	0	0	159	0	10	0	129	19
assemblage-236-44	60	41	51	20	0	0	156	27	22	0	83	10
assemblage-325-144	0	0	24	0	0	8	0	0	0	424	0	2
