Assemblage 	OriginTime	Duration
assemblage-190-51	9300	700
assemblage-307-446	3700	700
assemblage-205-410	3000	700
assemblage-504-463	6500	700
assemblage-469-96	9300	700
assemblage-25-283	7900	700
assemblage-52-121	3000	700
assemblage-318-79	8600	700
assemblage-301-389	6500	700
assemblage-553-196	6500	700
assemblage-120-467	5800	700
assemblage-144-312	7900	700
assemblage-502-336	6500	700
assemblage-63-99	8600	700
assemblage-550-130	5100	700
assemblage-160-240	8600	700
assemblage-227-354	5100	700
assemblage-71-387	5800	700
assemblage-292-479	7900	700
assemblage-490-178	3000	700
assemblage-164-565	5800	700
assemblage-110-484	4400	700
assemblage-518-290	5800	700
assemblage-451-293	4400	700
assemblage-444-408	8600	700
assemblage-394-158	5800	700
assemblage-283-395	5100	700
assemblage-162-469	7200	700
assemblage-182-70	9300	700
assemblage-437-501	8600	700
assemblage-284-265	8600	700
assemblage-332-401	7200	700
assemblage-293-328	7900	700
assemblage-227-42	7900	700
assemblage-377-222	4400	700
assemblage-25-111	6500	700
assemblage-87-488	7900	700
assemblage-243-28	6500	700
assemblage-225-181	4400	700
assemblage-166-418	6500	700
assemblage-327-550	3700	700
assemblage-201-438	3700	700
assemblage-289-67	7200	700
assemblage-27-207	7200	700
assemblage-78-518	7900	700
assemblage-483-65	5100	700
assemblage-171-106	9300	700
assemblage-58-401	7900	700
assemblage-373-410	6500	700
assemblage-187-144	6500	700
assemblage-470-274	5800	700
assemblage-341-126	5800	700
assemblage-122-530	3000	700
assemblage-341-120	9300	700
assemblage-38-390	7200	700
assemblage-145-187	8600	700
assemblage-402-441	3000	700
assemblage-459-296	4400	700
assemblage-140-315	3700	700
assemblage-470-12	4400	700
assemblage-193-195	3000	700
assemblage-504-327	4400	700
assemblage-425-519	9300	700
assemblage-174-563	8600	700
assemblage-372-376	7200	700
assemblage-150-149	9300	700
assemblage-257-485	6500	700
assemblage-428-490	4400	700
assemblage-11-354	5100	700
assemblage-548-241	3700	700
assemblage-272-29	7900	700
assemblage-437-337	6500	700
assemblage-558-564	7900	700
