Assemblage 	OriginTime	Duration
assemblage-317-433	9300	700
assemblage-133-343	3000	700
assemblage-238-219	4400	700
assemblage-75-101	3700	700
assemblage-469-305	7900	700
assemblage-447-314	8600	700
assemblage-492-33	9300	700
assemblage-83-405	6500	700
assemblage-438-503	3700	700
assemblage-156-307	3000	700
assemblage-417-461	5800	700
assemblage-284-481	7200	700
assemblage-0-534	7900	700
assemblage-341-240	4400	700
assemblage-242-269	3700	700
assemblage-469-92	9300	700
assemblage-229-469	3700	700
assemblage-260-44	5100	700
assemblage-299-130	3700	700
assemblage-184-182	8600	700
assemblage-184-327	8600	700
assemblage-542-464	7200	700
assemblage-400-316	5800	700
assemblage-493-167	9300	700
assemblage-305-190	8600	700
assemblage-405-198	4400	700
assemblage-145-344	8600	700
assemblage-239-180	5100	700
assemblage-426-519	9300	700
assemblage-560-171	7200	700
assemblage-131-217	4400	700
assemblage-543-37	4400	700
assemblage-157-233	9300	700
assemblage-327-344	9300	700
assemblage-18-170	3000	700
assemblage-246-464	4400	700
assemblage-219-79	4400	700
assemblage-100-197	9300	700
assemblage-353-184	8600	700
assemblage-2-0	5100	700
assemblage-125-24	3000	700
assemblage-488-227	5800	700
assemblage-315-532	3000	700
assemblage-185-241	7200	700
assemblage-206-509	4400	700
assemblage-367-149	8600	700
assemblage-562-181	6500	700
assemblage-261-1	5800	700
assemblage-117-341	9300	700
assemblage-138-133	5100	700
assemblage-453-179	3000	700
assemblage-295-138	5800	700
assemblage-439-22	3700	700
assemblage-423-400	7900	700
assemblage-547-476	6500	700
assemblage-115-456	7200	700
assemblage-386-330	3000	700
assemblage-262-293	3000	700
assemblage-140-173	3000	700
assemblage-331-141	6500	700
assemblage-28-280	8600	700
assemblage-310-267	8600	700
assemblage-439-141	7200	700
assemblage-87-51	4400	700
assemblage-223-472	8600	700
assemblage-422-267	5100	700
assemblage-389-266	8600	700
assemblage-437-73	7200	700
assemblage-166-185	5100	700
assemblage-463-86	6500	700
assemblage-334-261	3000	700
assemblage-58-384	7200	700
assemblage-29-60	9300	700
assemblage-76-547	6500	700
assemblage-208-528	9300	700
assemblage-242-144	8600	700
assemblage-40-208	7900	700
assemblage-38-221	7900	700
assemblage-42-93	5800	700
assemblage-400-527	3000	700
assemblage-154-113	7200	700
assemblage-376-191	5800	700
assemblage-47-180	3000	700
assemblage-254-558	8600	700
assemblage-153-20	3000	700
assemblage-1-122	3700	700
assemblage-461-241	4400	700
assemblage-529-471	8600	700
assemblage-556-123	9300	700
assemblage-419-557	5800	700
assemblage-308-428	3700	700
assemblage-60-342	7200	700
assemblage-550-64	5800	700
assemblage-555-110	6500	700
assemblage-533-108	5800	700
assemblage-543-514	7900	700
assemblage-399-179	8600	700
assemblage-227-463	5800	700
assemblage-273-128	5100	700
assemblage-289-193	4400	700
assemblage-485-156	6500	700
assemblage-58-424	4400	700
assemblage-371-504	4400	700
assemblage-435-9	7900	700
assemblage-509-269	6500	700
assemblage-360-33	7200	700
assemblage-22-561	5100	700
assemblage-452-19	5800	700
assemblage-528-310	8600	700
assemblage-116-399	6500	700
assemblage-447-192	6500	700
assemblage-354-133	7200	700
assemblage-293-111	7900	700
assemblage-563-544	7200	700
assemblage-289-392	6500	700
assemblage-352-406	3700	700
assemblage-521-258	7900	700
assemblage-403-390	5100	700
assemblage-316-240	9300	700
assemblage-558-325	5800	700
assemblage-404-166	3000	700
assemblage-493-531	3700	700
assemblage-362-378	7200	700
assemblage-369-464	5800	700
assemblage-487-124	5100	700
assemblage-160-158	9300	700
assemblage-302-11	3000	700
assemblage-249-379	3700	700
assemblage-132-217	8600	700
assemblage-100-81	5100	700
assemblage-499-39	7900	700
assemblage-219-117	8600	700
assemblage-58-531	9300	700
assemblage-283-538	7200	700
assemblage-46-547	7200	700
assemblage-281-17	4400	700
assemblage-295-83	6500	700
assemblage-37-259	5100	700
assemblage-60-312	3700	700
assemblage-51-54	7900	700
assemblage-70-396	3700	700
assemblage-471-320	5100	700
assemblage-93-359	7200	700
assemblage-49-203	3000	700
assemblage-485-14	5100	700
assemblage-243-296	8600	700
assemblage-334-2	7900	700
assemblage-371-64	3700	700
assemblage-205-502	5100	700
assemblage-132-138	4400	700
assemblage-273-204	5800	700
assemblage-78-18	7200	700
assemblage-193-175	4400	700
assemblage-210-107	7200	700
assemblage-374-145	5800	700
assemblage-364-56	8600	700
assemblage-27-191	5800	700
assemblage-406-433	6500	700
assemblage-54-444	4400	700
assemblage-557-128	7900	700
assemblage-411-201	5800	700
assemblage-372-442	7900	700
assemblage-236-187	6500	700
assemblage-138-60	9300	700
assemblage-365-351	6500	700
assemblage-560-461	7900	700
assemblage-387-72	3700	700
assemblage-390-186	6500	700
assemblage-486-350	5800	700
assemblage-229-296	3700	700
assemblage-284-174	4400	700
assemblage-45-120	9300	700
assemblage-323-45	9300	700
assemblage-289-416	9300	700
assemblage-502-349	3700	700
assemblage-395-262	8600	700
assemblage-548-325	4400	700
assemblage-509-16	3700	700
assemblage-192-265	5100	700
assemblage-256-110	5800	700
assemblage-371-466	5100	700
assemblage-203-114	8600	700
assemblage-220-493	7200	700
assemblage-101-539	6500	700
assemblage-134-93	6500	700
assemblage-562-71	6500	700
assemblage-179-245	6500	700
assemblage-342-349	7200	700
assemblage-204-460	5800	700
assemblage-495-490	7200	700
assemblage-408-338	3000	700
assemblage-66-406	3000	700
assemblage-394-144	3000	700
assemblage-169-169	3000	700
assemblage-392-494	6500	700
assemblage-79-117	7200	700
assemblage-233-3	6500	700
assemblage-201-85	4400	700
assemblage-558-473	7200	700
assemblage-313-317	8600	700
assemblage-114-81	7900	700
assemblage-355-15	7900	700
assemblage-402-358	5100	700
assemblage-412-40	7900	700
assemblage-118-311	3000	700
assemblage-370-521	4400	700
assemblage-174-41	5100	700
assemblage-302-58	4400	700
assemblage-18-326	8600	700
assemblage-492-304	5100	700
assemblage-39-208	7200	700
assemblage-73-516	7900	700
assemblage-457-564	7900	700
assemblage-31-232	3700	700
assemblage-36-4	8600	700
assemblage-246-477	9300	700
assemblage-363-298	6500	700
assemblage-78-293	3700	700
assemblage-417-424	3000	700
assemblage-31-212	3700	700
assemblage-209-285	5800	700
assemblage-428-262	6500	700
assemblage-9-349	8600	700
assemblage-289-323	4400	700
assemblage-328-83	7200	700
assemblage-233-329	3000	700
assemblage-463-556	8600	700
assemblage-107-361	5800	700
assemblage-179-241	7900	700
assemblage-190-238	3700	700
assemblage-63-76	4400	700
assemblage-407-474	8600	700
assemblage-323-119	3000	700
assemblage-343-159	7900	700
assemblage-30-200	5800	700
assemblage-357-109	5100	700
assemblage-179-398	9300	700
assemblage-423-89	4400	700
assemblage-294-11	3700	700
assemblage-341-145	3700	700
assemblage-450-471	3700	700
assemblage-19-316	4400	700
assemblage-354-74	6500	700
assemblage-81-203	7200	700
assemblage-196-6	7200	700
assemblage-483-486	3700	700
assemblage-438-533	6500	700
assemblage-464-489	8600	700
assemblage-525-84	9300	700
assemblage-383-43	5100	700
assemblage-335-147	7900	700
assemblage-370-548	3000	700
assemblage-196-398	7900	700
assemblage-346-322	3000	700
assemblage-358-444	5800	700
assemblage-395-435	9300	700
assemblage-211-448	5800	700
assemblage-78-463	4400	700
assemblage-81-276	7900	700
assemblage-502-143	7900	700
assemblage-232-472	7200	700
assemblage-301-52	5800	700
assemblage-463-470	4400	700
assemblage-534-355	9300	700
assemblage-464-269	5100	700
assemblage-426-144	8600	700
assemblage-226-386	3700	700
assemblage-397-274	3700	700
assemblage-263-234	9300	700
assemblage-237-192	3700	700
assemblage-30-565	5800	700
assemblage-264-176	3000	700
assemblage-530-122	5800	700
assemblage-283-443	5100	700
assemblage-557-503	8600	700
assemblage-491-105	5100	700
assemblage-141-542	3000	700
assemblage-229-138	3000	700
assemblage-531-476	4400	700
assemblage-432-192	7200	700
assemblage-351-424	9300	700
assemblage-211-516	6500	700
assemblage-475-191	6500	700
assemblage-419-111	3700	700
assemblage-565-198	9300	700
assemblage-215-245	7900	700
assemblage-94-323	6500	700
assemblage-223-320	5100	700
assemblage-564-447	6500	700
assemblage-437-301	7200	700
assemblage-1-301	3000	700
assemblage-150-357	7900	700
assemblage-110-139	9300	700
assemblage-325-488	7200	700
assemblage-258-70	4400	700
assemblage-93-401	7900	700
assemblage-236-44	5100	700
assemblage-343-75	3700	700
assemblage-483-444	3000	700
assemblage-444-519	9300	700
assemblage-519-402	5100	700
assemblage-325-144	9300	700
assemblage-558-485	8600	700
assemblage-235-554	5800	700
assemblage-480-535	7900	700
assemblage-359-168	9300	700
assemblage-326-173	7900	700
assemblage-317-53	3700	700
assemblage-329-470	5800	700
assemblage-262-18	4400	700
assemblage-232-7	5100	700
assemblage-205-306	5100	700
assemblage-264-554	3000	700
assemblage-108-135	5100	700
assemblage-134-319	7900	700
assemblage-123-57	9300	700
assemblage-365-448	5800	700
assemblage-201-419	6500	700
assemblage-289-88	4400	700
assemblage-258-167	5100	700
